yaw, pitch, roll, rawX (accel), rawY, rawZ, tmp36, Time (HH:MM:SS), Date (MM/DD/YY),GPS Fix, Fix Quality, Latitude, Longitude, knots, altitude, # of satellite fixes
-158.98,-1.84,-2.57,14.67,-6.89,259.07,19.25,14:57:23.953,8/28/14,1,1,4102.1640N, 8237.7353W,7.30,24662.60,7
-159.78,-1.82,-2.18,18.45,-4.92,261.12,19.25,14:57:23.953,8/28/14,1,1,4102.1640N, 8237.7353W,7.33,24662.60,7
-160.57,-1.82,-1.87,15.62,-7.88,260.10,23.89,14:57:24.171,8/28/14,1,1,4102.1645N, 8237.7353W,7.33,24663.00,7
-161.60,-1.86,-1.38,15.62,-7.88,261.12,19.25,14:57:24.171,8/28/14,1,1,4102.1645N, 8237.7353W,7.33,24663.00,7
-162.51,-1.84,-1.17,15.62,-6.89,261.12,19.25,14:57:24.359,8/28/14,1,1,4102.1650N, 8237.7353W,7.17,24663.00,7
-163.26,-1.92,-0.91,14.67,-6.89,257.02,25.05,14:57:24.562,8/28/14,1,1,4102.1655N, 8237.7363W,7.05,24663.00,7
-163.91,-2.09,-0.58,15.62,-6.89,259.07,19.25,14:57:24.750,8/28/14,1,1,4102.1655N, 8237.7363W,6.97,24663.00,7
-164.11,-2.25,-0.53,15.62,-5.91,254.98,19.25,14:57:24.968,8/28/14,1,1,4102.1660N, 8237.7373W,6.80,24664.30,7
-164.19,-2.47,-0.30,14.67,-6.89,251.90,19.25,14:57:25.156,8/28/14,1,1,4102.1665N, 8237.7373W,6.80,24664.60,7
-164.14,-2.56,-0.29,13.72,-6.89,250.88,19.25,14:57:25.156,8/28/14,1,1,4102.1665N, 8237.7373W,6.60,24664.60,7
-163.92,-2.82,-0.45,14.67,-6.89,250.88,19.25,14:57:25.359,8/28/14,1,1,4102.1665N, 8237.7373W,6.60,24664.70,7
-163.62,-2.92,-0.35,14.67,-6.89,246.78,19.83,14:57:25.359,8/28/14,1,1,4102.1665N, 8237.7373W,6.40,24664.70,7
-163.21,-3.03,-0.35,13.72,-6.89,243.71,19.25,14:57:25.546,8/28/14,1,1,4102.1665N, 8237.7382W,6.17,24664.20,7
-162.67,-3.21,-0.54,13.72,-7.88,240.64,19.25,14:57:25.765,8/28/14,1,1,4102.1665N, 8237.7382W,6.17,24663.90,7
-162.07,-3.28,-0.56,12.78,-6.89,238.59,23.31,14:57:25.765,8/28/14,1,1,4102.1665N, 8237.7382W,6.02,24663.90,7
-161.41,-3.37,-0.57,13.72,-5.91,236.54,19.25,14:57:25.953,8/28/14,1,1,4102.1665N, 8237.7382W,6.02,24663.80,7
-160.69,-3.50,-0.78,12.78,-6.89,230.40,19.25,14:57:25.953,8/28/14,1,1,4102.1665N, 8237.7382W,5.88,24663.80,7
-159.93,-3.76,-0.94,13.72,-6.89,227.33,19.25,14:57:26.171,8/28/14,1,1,4102.1665N, 8237.7392W,5.83,24663.10,7
-159.19,-3.72,-0.98,11.83,-6.89,223.23,24.47,14:57:26.359,8/28/14,1,1,4102.1665N, 8237.7392W,5.83,24662.90,8
-158.45,-3.85,-1.11,13.72,-6.89,222.21,19.25,14:57:26.359,8/28/14,1,1,4102.1665N, 8237.7392W,5.78,24662.90,8
-157.74,-3.95,-1.27,11.83,-6.89,214.02,19.25,14:57:26.562,8/28/14,1,1,4102.1669N, 8237.7392W,5.76,24662.70,8
-157.10,-3.99,-1.25,11.83,-6.89,210.94,22.73,14:57:26.750,8/28/14,1,1,4102.1669N, 8237.7392W,5.76,24662.60,8
-156.56,-3.98,-1.23,12.78,-4.92,208.90,19.25,14:57:26.750,8/28/14,1,1,4102.1669N, 8237.7392W,5.74,24662.60,8
-156.11,-3.97,-1.34,12.78,-6.89,207.87,19.25,14:57:26.968,8/28/14,1,1,4102.1669N, 8237.7392W,5.74,24662.50,8
-155.78,-3.96,-1.34,11.83,-5.91,208.90,19.25,14:57:26.968,8/28/14,1,1,4102.1669N, 8237.7392W,5.67,24662.50,8
-155.62,-3.66,-1.35,10.88,-5.91,209.92,19.83,14:57:27.156,8/28/14,1,1,4102.1669N, 8237.7392W,5.62,24662.40,8
-155.59,-3.51,-1.45,11.83,-5.91,212.99,19.25,14:57:27.359,8/28/14,1,1,4102.1669N, 8237.7392W,5.62,24662.40,8
